activityTags,actors,business,categoryid,categoryname,cityid,cityname,couponTags,description,id,imgurl,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,privilegeTags,projectid,promotionTags,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,venue,venuecity,venueid,verticalPic,favourable
"[{'id': 55935, 'name': '套票优惠'}, {'id': 55934, 'name': '套票优惠'}]",,0,1,演唱会,852,北京,[],极致迷幻的音乐狂欢即将开启！,1_1_594258740973,1647620113,0,1,0,0,【万有音乐系】ACID ANDROID LIVE 2019 #1,【万有音乐系】ACID ANDROID LIVE 2019 #1,520.0,520,520.0,[],594258740973,[],售票中,,2019.06.30 周日 20:00,3,13,其他,极致迷幻的音乐狂欢即将开启！,糖果TANGO-雍和宫店三层,北京,27,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01csiuwL2GdSAh4atSB_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],精彩呈现爵士大师堂系列,1_1_595560886165,1660641565,0,1,0,0,Blue Note Beijing JUNKO ONISHI TRIO 大西順子三重奏,Blue Note Beijing JUNKO ONISHI TRIO 大西順子三重奏,240.0,240-360,360.0,[],595560886165,[],售票中,,2019.06.29-06.30,3,13,其他,精彩呈现爵士大师堂系列,Blue Note Beijing 爵士乐俱乐部,北京,61359,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN018LV8jb2GdSAscHWeI_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_590857030991,1613603013,0,1,0,1,《喧嚣中的沉静-张羿凡守望经典民谣音乐会》,《喧嚣中的沉静-张羿凡守望经典民谣音乐会》,128.0,128-328,328.0,[],590857030991,[],售票中,,2019.06.29 周六 14:30,3,13,其他,,东方梅地亚中心M剧场,北京,57497,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01BviZuy2GdSAuhScfP_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_596696238926,1671995093,0,1,0,0,Blue Note Beijing JIMMY BRUNO TRIO,Blue Note Beijing JIMMY BRUNO TRIO,160.0,160-260,260.0,[],596696238926,[],售票中,,2019.07.13-07.14,3,13,其他,,Blue Note Beijing 爵士乐俱乐部,北京,61359,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01b2Fl0h2GdSBBQDo9E_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_596623646913,1671269173,0,1,0,0,Blue Note Beijing NANCY HARMS,Blue Note Beijing NANCY HARMS,160.0,160-280,280.0,[],596623646913,[],售票中,,2019.07.11-07.12,3,9,流行,,Blue Note Beijing 爵士乐俱乐部,北京,61359,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN012LAAMg2GdSBCJStC1_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],精彩呈现爵士大师堂系列,1_1_595559518120,1660627885,0,1,0,0,Blue Note Beijing JOSÉ FELICIANO,Blue Note Beijing JOSÉ FELICIANO,400.0,400-500,500.0,[],595559518120,[],售票中,,2019.06.27-06.28,3,13,其他,精彩呈现爵士大师堂系列,Blue Note Beijing 爵士乐俱乐部,北京,61359,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01Js10xs2GdSAteX9r7_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_593331796814,1638350672,0,0,0,0,磊落2019“不存在的回忆”新专辑发布巡演 北京站,磊落2019“不存在的回忆”新专辑发布巡演 北京站,100.0,100-120,120.0,[],593331796814,[],售票中,,2019.07.05 周五 20:30,3,13,其他,,MAO Livehouse 北京,北京,92428,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01FfcKl32GdSANH0sOz_!!0-item_pic.jpg,
[],艺人：Nicola Conte,0,1,演唱会,852,北京,[],艺人：Nicola Conte,1_1_596454791470,1669580618,0,1,0,0,Blue Note Beijing NICOLA CONTE & SPIRITUAL GALAXY,Blue Note Beijing NICOLA CONTE & SPIRITUAL GALAXY,240.0,240-380,380.0,[],596454791470,[],售票中,,2019.07.04-07.05,3,9,流行,,Blue Note Beijing 爵士乐俱乐部,北京,61359,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01gUOc1z2GdSB3kFkLe_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_593447501503,1639507719,0,0,0,0,邦摇季2019京沪巡回音乐现场之Czecho No Republic,邦摇季2019京沪巡回音乐现场之Czecho No Republic,300.0,300-550,550.0,[],593447501503,[],售票中,,2019.06.29 周六 19:30,3,13,其他,,MAO Livehouse 北京,北京,92428,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01rZHNva2GdSAN456yz_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_594365565294,1648688356,0,0,0,0,【邦摇季2019】巡回音乐现场OKMOTO'S “BOY”CHINA TOUR 北京站”,【邦摇季2019】巡回音乐现场OKMOTO'S “BOY”CHINA TOUR 北京站”,360.0,360-580,580.0,[],594365565294,[],售票中,,2019.07.19 周五 19:30,3,13,其他,,MAO Livehouse 北京,北京,92428,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01pnE72C2GdSAa3u0tp_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_596710453024,1672137234,0,1,0,0,黄礼格“No Tag”五城巡演 北京站,黄礼格“No Tag”五城巡演 北京站,150.0,150-180,180.0,[],596710453024,[],售票中,,2019.07.27 周六 20:00,3,13,其他,,MAO Livehouse 北京,北京,92428,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01WA56SG2GdSBAKjUFR_!!0-item_pic.jpg,
[],艺人：林宥嘉,0,1,演唱会,852,北京,[],艺人：林宥嘉,1_1_595451013141,1659542835,0,1,0,0,林宥嘉idol巡回演唱会北京站,林宥嘉idol巡回演唱会北京站,380.0,380-1280,1280.0,[],595451013141,[],售票中,,2019.07.13 周六 18:30,3,13,其他,一步步随著他探究idol的深层面貌。,凯迪拉克中心,北京,682,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01NS74Pi2GdSAwBoVBk_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_595844478698,1663477490,0,1,0,0,“不说再见”系列演唱会北京站,“不说再见”系列演唱会北京站,380.0,380-1280,1280.0,[],595844478698,[],售票中,,2019.06.21 周五 19:00,3,13,其他,,北京工人体育馆,北京,2,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01WM3rYL2GdSApcRcWa_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_595453128318,1659563987,0,0,0,0,Christopher 2019 年中国巡演-北京站,Christopher 2019 年中国巡演-北京站,480.0,480,480.0,[],595453128318,[],售票中,,2019.06.23 周日 19:30,3,13,其他,,糖果TANGO-雍和宫店三层,北京,27,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01julpD42GdSAvbKAFY_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],从未褪色的摇滚青春,1_1_591683315822,1621865862,0,1,0,0,真的爱你-2019致敬BEYOND·黄家驹演唱会,真的爱你-2019致敬BEYOND·黄家驹演唱会,280.0,280-580,580.0,[],591683315822,[],售票中,,2019.06.29 周六 19:30,3,9,流行,从未褪色的摇滚青春,糖果TANGO-雍和宫店三层,北京,27,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01k80che2GdS9noBOrG_!!0-item_pic.jpg,
[],艺人：许嵩,0,1,演唱会,852,北京,[],艺人：许嵩,1_1_591204120682,1617073910,0,1,0,0,"许嵩2019""寻宝游戏”演唱会—北京站","许嵩2019""寻宝游戏”演唱会—北京站",380.0,380-1280,1280.0,[],591204120682,[],售票中,,2019.07.06 周六 19:00,3,9,流行,,凯迪拉克中心,北京,682,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01WmADiW2GdS9roRPAz_!!0-item_pic.jpg,
[],艺人：八三夭,0,1,演唱会,852,北京,[],艺人：八三夭,1_1_596625466616,1671287370,0,1,0,0,八三夭（乐队）2019巡回演唱会北京站,八三夭（乐队）2019巡回演唱会北京站,480.0,480,480.0,[],596625466616,[],售票中,,2019.08.10 周六 20:00,3,10,摇滚,,糖果TANGO-雍和宫店三层,北京,27,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01KDyiP92GdSBBvktze_!!0-item_pic.jpg,
[],艺人：坤音四子oner,0,1,演唱会,852,北京,[],艺人：坤音四子oner,1_1_596457159820,1669604302,0,1,0,0,2019 ONER演唱会北京站《第七场舞会》,2019 ONER演唱会北京站《第七场舞会》,365.0,365-1380,1380.0,[],596457159820,[],售票中,,2019.07.12 周五 19:00,3,13,其他,,北京工人体育馆,北京,2,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01bmavDc2GdSB4tFtCH_!!0-item_pic.jpg,
[],艺人：杨千嬅,0,1,演唱会,852,北京,[],艺人：杨千嬅,1_1_590864257818,1613675282,0,1,0,0,MY Beautiful Live 杨千嬅巡回演唱会北京站,MY Beautiful Live 杨千嬅巡回演唱会北京站,380.0,380-1680,1680.0,[],590864257818,[],售票中,,2019.06.29 周六 19:00,3,9,流行,,凯迪拉克中心,北京,682,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01aNIY0P2GdSAshBlvQ_!!0-item_pic.jpg,
[],艺人：陈绮贞,0,1,演唱会,852,北京,[],艺人：陈绮贞,1_1_586888717954,1573919883,0,1,0,0,2019陈绮贞20周年－「漫漫长夜 Cheer 20」北京演唱会,2019陈绮贞20周年－「漫漫长夜 Cheer 20」北京演唱会,399.0,399-1599,1599.0,[],586888717954,[],售票中,,2019.06.22 周六 18:30,3,9,流行,,凯迪拉克中心,北京,682,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01hc0N3h2GdS8gfMiMp_!!0-item_pic.jpg,
[],艺人：蔡琴,0,1,演唱会,852,北京,[],艺人：蔡琴,1_1_596049466490,1665527368,0,1,0,0,蔡琴2019「好新琴」演唱会北京站,蔡琴2019「好新琴」演唱会北京站,280.0,280-1280,1280.0,[],596049466490,[],售票中,,2019.07.27 周六 19:00,3,9,流行,,凯迪拉克中心,北京,682,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01uGmEZn2GdSB0D6U3A_!!0-item_pic.jpg,
[],艺人: 张杰,0,1,演唱会,852,北京,[],艺人: 张杰,1_1_176918,1769,0,1,0,0,2019张杰【未·LIVE】全球巡回演唱会 北京站,2019张杰【未·LIVE】全球巡回演唱会 北京站,280.0,280-1680,1680.0,[],176918,[],预售,,2019.08.10 19:00,8,9,流行,唱给未来的现场，献给你。,国家体育场-鸟巢,北京,392,https://pimg.dmcdn.cn/perform/project/1769/176918_n.jpg?_t=1555048366280,
[],,0,1,演唱会,852,北京,[],,1_1_200599001,2005990,0,0,0,0,刘瑞琦-温暖的房间全国巡回演唱会2019收官站-北京站,刘瑞琦-温暖的房间全国巡回演唱会2019收官站-北京站,0.0,价格待定,10000000.0,[],200599001,[],未开售,,时间待定,3,13,其他,,,北京,0,http://damai-mx-partner-admin.oss-cn-beijing.aliyuncs.com/248feca0-20ff-4995-b6e3-cb7bdad8638c.jpg,
